iter	Passed	Remaining
0	194	194150
1	195	97722
2	196	65337
3	197	49113
4	198	39589
5	200	33224
6	201	28618
7	202	25105
8	203	22368
9	204	20202
10	206	18540
11	207	17077
12	208	15804
13	208	14712
14	209	13789
15	211	13014
16	212	12310
17	213	11658
18	214	11067
19	215	10536
20	215	10066
21	217	9683
22	219	9304
23	219	8932
24	220	8594
25	221	8305
26	222	8019
27	223	7770
28	225	7534
29	225	7298
30	226	7082
31	227	6874
32	228	6685
33	229	6515
34	230	6354
35	231	6202
36	232	6046
37	232	5897
38	233	5759
39	234	5635
40	236	5541
41	237	5417
42	238	5301
43	238	5190
44	239	5086
45	241	4998
46	242	4914
47	243	4820
48	243	4730
49	244	4644
50	245	4563
51	245	4483
52	248	4435
53	248	4360
54	249	4287
55	250	4216
56	250	4147
57	251	4080
58	251	4016
59	252	3957
60	253	3903
61	254	3848
62	255	3793
63	255	3741
64	256	3690
65	257	3641
66	258	3593
67	259	3550
68	260	3515
69	261	3472
70	262	3428
71	262	3386
72	263	3346
73	266	3332
74	267	3304
75	268	3266
76	269	3228
77	269	3190
78	270	3157
79	271	3123
80	272	3093
81	273	3066
82	274	3029
83	274	2997
84	275	2965
85	276	2935
86	276	2906
87	277	2878
88	278	2853
89	279	2828
90	280	2800
91	281	2774
92	282	2750
93	282	2725
94	283	2703
95	285	2685
96	285	2661
97	286	2638
98	287	2614
99	287	2591
100	288	2569
101	290	2558
102	291	2539
103	292	2519
104	293	2498
105	293	2479
106	294	2460
107	296	2452
108	297	2432
109	298	2413
110	299	2395
111	299	2378
112	300	2360
113	301	2343
114	303	2336
115	304	2322
116	305	2304
117	305	2286
118	306	2270
119	307	2253
120	308	2237
121	308	2221
122	309	2209
123	311	2200
124	312	2184
125	312	2169
126	313	2153
127	313	2138
128	314	2126
129	315	2114
130	316	2102
131	317	2088
132	318	2073
133	318	2060
134	319	2046
135	320	2033
136	320	2020
137	321	2010
138	322	1999
139	323	1986
140	324	1973
141	324	1960
142	325	1948
143	325	1936
144	326	1925
145	327	1914
146	327	1902
147	328	1893
148	329	1881
149	330	1870
150	330	1859
151	331	1848
152	331	1837
153	332	1827
154	333	1818
155	334	1808
156	335	1798
157	335	1788
158	336	1778
159	336	1768
160	337	1757
161	337	1748
162	338	1738
163	339	1730
164	340	1721
165	340	1713
166	341	1703
167	342	1694
168	342	1685
169	343	1676
170	344	1667
171	344	1658
172	345	1651
173	346	1645
174	347	1638
175	348	1630
176	348	1621
177	349	1613
178	350	1605
179	350	1597
180	351	1589
181	352	1582
182	353	1577
183	355	1577
184	356	1571
185	357	1565
186	359	1564
187	360	1558
188	361	1552
189	362	1544
190	363	1537
191	363	1530
192	364	1522
193	364	1515
194	365	1509
195	366	1502
196	367	1496
197	367	1490
198	368	1483
199	369	1476
200	369	1469
201	370	1462
202	370	1456
203	371	1450
204	372	1444
205	373	1438
206	373	1432
207	374	1425
208	375	1419
209	375	1413
210	376	1407
211	376	1401
212	378	1399
213	379	1394
214	380	1388
215	381	1383
216	381	1377
217	382	1372
218	383	1366
219	384	1363
220	386	1362
221	387	1357
222	388	1352
223	388	1346
224	389	1340
225	390	1336
226	391	1332
227	392	1329
228	393	1326
229	394	1320
230	395	1315
231	395	1310
232	396	1305
233	397	1302
234	398	1297
235	399	1293
236	400	1287
237	400	1282
238	401	1277
239	401	1272
240	402	1267
241	403	1263
242	403	1258
243	404	1254
244	405	1249
245	406	1244
246	406	1239
247	407	1234
248	407	1229
249	408	1225
250	409	1221
251	410	1217
252	410	1213
253	411	1208
254	412	1204
255	412	1199
256	413	1195
257	414	1190
258	414	1186
259	415	1182
260	416	1178
261	417	1174
262	417	1170
263	418	1165
264	418	1161
265	419	1157
266	419	1153
267	420	1148
268	421	1144
269	422	1141
270	422	1137
271	423	1133
272	424	1129
273	424	1125
274	425	1121
275	425	1117
276	426	1113
277	427	1108
278	427	1105
279	428	1102
280	429	1099
281	430	1095
282	430	1091
283	431	1087
284	432	1085
285	433	1083
286	435	1081
287	436	1078
288	437	1075
289	437	1071
290	438	1068
291	439	1064
292	439	1061
293	441	1059
294	442	1056
295	442	1053
296	443	1049
297	444	1046
298	445	1043
299	445	1040
300	446	1037
301	447	1035
302	448	1031
303	449	1028
304	449	1024
305	450	1021
306	450	1017
307	459	1031
308	459	1028
309	460	1025
310	461	1022
311	462	1018
312	462	1015
313	463	1012
314	463	1008
315	464	1005
316	465	1003
317	466	999
318	466	996
319	467	993
320	468	990
321	468	986
322	469	983
323	469	980
324	470	977
325	471	974
326	471	971
327	472	968
328	473	964
329	473	961
330	474	958
331	474	955
332	475	951
333	475	948
334	476	945
335	477	942
336	477	940
337	478	937
338	479	934
339	480	931
340	480	928
341	481	925
342	481	922
343	482	919
344	482	916
345	483	914
346	484	912
347	485	910
348	486	907
349	486	904
350	487	901
351	488	898
352	488	895
353	489	892
354	490	890
355	491	888
356	492	886
357	492	883
358	493	880
359	493	877
360	494	875
361	495	872
362	495	870
363	497	868
364	498	866
365	498	863
366	499	861
367	499	858
368	500	855
369	501	853
370	501	851
371	503	849
372	503	847
373	504	844
374	505	842
375	505	839
376	506	836
377	506	834
378	507	831
379	508	829
380	509	827
381	510	825
382	510	823
383	511	820
384	512	818
385	512	815
386	513	813
387	514	810
388	515	809
389	516	808
390	517	805
391	518	803
392	518	801
393	519	798
394	520	796
395	520	794
396	522	793
397	523	791
398	524	789
399	524	787
400	525	784
401	525	782
402	526	780
403	528	779
404	529	777
405	530	775
406	530	773
407	531	770
408	531	768
409	532	765
410	533	763
411	534	762
412	534	760
413	535	758
414	536	755
415	536	753
416	537	751
417	537	749
418	538	746
419	539	745
420	540	743
421	541	741
422	541	738
423	542	736
424	542	734
425	543	732
426	544	730
427	544	728
428	545	726
429	546	724
430	547	722
431	547	720
432	548	718
433	549	716
434	550	714
435	550	712
436	551	710
437	552	708
438	552	706
439	553	704
440	554	702
441	554	700
442	555	698
443	555	696
444	556	693
445	557	692
446	557	690
447	558	688
448	559	686
449	559	684
450	560	682
451	560	680
452	561	677
453	562	676
454	562	674
455	563	672
456	564	670
457	565	669
458	566	668
459	567	666
460	568	664
461	568	662
462	569	660
463	569	658
